feedstock,daily_input,ts,vs_ts,olr,temperature,hrt,volume,ph,ammonia,vfa_alk,biogas_yield,methane_pct
Food waste,60,22,85,4.8,38,18,2000,7.6,3400,0.48,72,52
Agricultural slurry,120,8,78,2.1,37,28,5000,7.2,1800,0.22,38,58
Energy crops,45,30,88,3.2,39,22,1500,7.3,2100,0.31,95,54
Food waste,75,24,87,5.5,37,16,2500,7.4,3800,0.52,68,51
Agricultural slurry,200,9,75,3.1,38,25,4000,7.1,2200,0.28,42,57
Energy crops,55,32,90,4.0,40,20,1800,7.5,1900,0.27,102,55
Food waste,50,20,83,4.2,36,19,1800,7.7,3100,0.41,65,53
Agricultural slurry,150,10,80,2.5,37,30,6000,7.3,1600,0.19,45,59
Energy crops,40,28,86,2.8,38,24,1200,7.2,2300,0.35,88,53
Food waste,90,25,88,6.1,39,15,3000,7.5,4100,0.60,75,50
Agricultural slurry,180,8,77,2.8,36,27,5500,7.0,1900,0.25,40,57
Energy crops,60,31,89,3.7,39,21,2000,7.4,2000,0.29,98,54
Food waste,65,23,86,5.1,38,17,2200,7.6,3600,0.50,70,52
Agricultural slurry,100,9,79,2.0,37,32,4500,7.2,1700,0.21,36,58
Energy crops,50,29,87,3.4,40,23,1600,7.3,2200,0.32,92,54
Food waste,80,26,89,5.8,37,16,2800,7.4,3900,0.55,73,51
Agricultural slurry,160,11,76,2.9,38,26,5200,7.1,2100,0.26,43,57
Energy crops,45,30,88,3.1,38,22,1500,7.2,2100,0.30,96,55
Food waste,55,21,84,4.5,36,18,1900,7.7,3200,0.44,67,52
Agricultural slurry,130,9,78,2.3,37,29,5000,7.3,1750,0.23,39,58
Energy crops,52,31,90,3.6,39,21,1700,7.4,1950,0.28,100,55
Food waste,70,24,87,5.3,38,17,2400,7.5,3700,0.51,71,52
Agricultural slurry,190,8,76,3.0,36,26,5800,7.0,2050,0.27,41,57
Energy crops,58,32,91,4.2,40,20,1900,7.5,1850,0.26,105,56
Food waste,48,20,83,4.0,37,19,1700,7.8,3000,0.40,64,53
Agricultural slurry,140,10,80,2.4,38,28,5300,7.2,1650,0.20,37,59
Energy crops,42,28,86,3.0,38,24,1300,7.3,2250,0.34,90,53
Food waste,85,25,88,5.9,39,16,2900,7.4,4000,0.58,74,51
Agricultural slurry,170,11,77,2.7,37,27,5400,7.1,2000,0.25,41,57
Energy crops,62,31,89,3.8,39,21,2100,7.4,2050,0.30,99,54
Food waste,68,23,86,5.2,38,17,2300,7.6,3550,0.49,70,52
Agricultural slurry,110,9,79,2.1,37,31,4700,7.2,1720,0.22,37,58
Energy crops,48,29,87,3.3,40,23,1550,7.3,2180,0.31,93,54
Food waste,78,26,89,5.7,37,16,2700,7.4,3850,0.54,72,51
Agricultural slurry,155,11,76,2.8,38,26,5100,7.1,2080,0.26,42,57
Energy crops,44,30,88,3.0,38,22,1450,7.2,2120,0.30,95,55
Food waste,53,21,84,4.3,36,18,1850,7.7,3150,0.43,66,52
Agricultural slurry,125,9,78,2.2,37,29,4900,7.3,1730,0.22,38,58
Energy crops,50,31,90,3.5,39,21,1650,7.4,1970,0.28,99,55
Food waste,72,24,87,5.4,38,17,2450,7.5,3720,0.52,71,52
Agricultural slurry,185,8,76,2.9,36,26,5700,7.0,2030,0.26,40,57
Energy crops,56,32,91,4.1,40,20,1850,7.5,1870,0.26,104,56
Food waste,46,20,83,3.9,37,19,1650,7.8,2980,0.39,63,53
Agricultural slurry,145,10,80,2.5,38,28,5400,7.2,1670,0.20,38,59
Energy crops,40,28,86,2.9,38,24,1250,7.3,2270,0.34,89,53
Food waste,88,25,88,6.0,39,16,3000,7.4,4050,0.59,75,50
Agricultural slurry,175,11,77,2.7,37,27,5500,7.1,2010,0.25,41,57
Energy crops,64,31,89,3.9,39,21,2150,7.4,2030,0.30,100,54
Food waste,62,23,86,4.9,38,17,2150,7.6,3480,0.48,69,52
Agricultural slurry,115,9,79,2.1,37,31,4800,7.2,1710,0.21,37,58
Energy crops,54,29,87,3.5,40,23,1700,7.3,2160,0.32,94,54
